slug,city,country,region,ridership_metric,ridership_vintage,population_basis,metric_known,denominator_consistent,vintage_comparable,usable_for_ratio
shanghai,Shanghai,China,Asia,unknown,2025,demographia_built_up,false,true,true,true
beijing,Beijing,China,Asia,unknown,2025,demographia_built_up,false,true,true,true
tokyo,Tokyo,Japan,Asia,unknown,2025,demographia_built_up,false,true,true,true
guangzhou,Guangzhou,China,Asia,unknown,2025,demographia_built_up,false,true,true,true
shenzhen,Shenzhen,China,Asia,unknown,2025,demographia_built_up,false,true,true,true
seoul,Seoul,South Korea,Asia,unknown,2024,demographia_built_up,false,true,true,true
moscow,Moscow,Russia,Europe,unknown,2024,demographia_built_up,false,true,true,true
delhi,Delhi,India,Asia,unknown,2025,demographia_built_up,false,true,true,true
chengdu,Chengdu,China,Asia,unknown,2025,demographia_built_up,false,true,true,true
hong-kong,Hong Kong,Hong Kong,Asia,unknown,2025,demographia_built_up,false,true,true,true
paris,Paris,France,Europe,unknown,2024,demographia_built_up,false,true,true,true
hangzhou,Hangzhou,China,Asia,unknown,2024,demographia_built_up,false,true,true,true
cairo,Cairo,Egypt,Africa,unknown,2023,demographia_built_up,false,true,true,true
wuhan,Wuhan,China,Asia,unknown,2024,demographia_built_up,false,true,true,true
chongqing,Chongqing,China,Asia,unknown,2024,demographia_built_up,false,true,true,true
xian,Xi'an,China,Asia,unknown,2024,demographia_built_up,false,true,true,true
new-york,New York City,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
singapore,Singapore,Singapore,Asia,unknown,2025,demographia_built_up,false,true,true,true
london,London,United Kingdom,Europe,unknown,2024,demographia_built_up,false,true,true,true
mexico-city,Mexico City,Mexico,North America,unknown,2024,demographia_built_up,false,true,true,true
osaka,Osaka,Japan,Asia,unknown,2023,demographia_built_up,false,true,true,true
prague,Prague,Czechia,Europe,unknown,2024,other,false,false,true,false
nanjing,Nanjing,China,Asia,unknown,2024,demographia_built_up,false,true,true,true
changsha,Changsha,China,Asia,unknown,2024,demographia_built_up,false,true,true,true
berlin,Berlin,Germany,Europe,unknown,2024,demographia_built_up,false,true,true,true
istanbul,Istanbul,Türkiye,Europe,unknown,2024,demographia_built_up,false,true,true,true
sao-paulo,São Paulo,Brazil,South America,unknown,2025,demographia_built_up,false,true,true,true
vienna,Vienna,Austria,Europe,unknown,2024,demographia_built_up,false,true,true,true
taipei,Taipei,Taiwan,Asia,unknown,2025,demographia_built_up,false,true,true,true
