slug,measure_def,confidence,value_status,evidence,url,source
beijing,unlinked_trips,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 3,621,265,800 / 进站量 2,003,036,800. matches 客运量 to 1.4% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
changchun,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 271,092,600 / 进站量 189,477,800. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
changsha,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 1,031,632,900 / 进站量 559,764,900. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
chengdu,unlinked_trips,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 2,208,982,500 / 进站量 1,261,007,900. matches 客运量 to 1.6% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
chongqing,unlinked_trips,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 1,416,494,000 / 进站量 879,855,500. matches 客运量 to 2.0% (atlas year 2024 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
dalian,unlinked_trips,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 276,594,500 / 进站量 205,794,000. matches 客运量 to 3.5% (atlas year 2024 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
fuzhou,,low,unverified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 305,691,900 / 进站量 219,434,600. matches neither column (客运量 x0.37, 进站量 x0.51); atlas vintage 2022 predates this report",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
guangzhou,unlinked_trips,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 3,255,011,600 / 进站量 1,790,980,400. matches 客运量 to 4.4% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
guiyang,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 255,189,600 / 进站量 181,963,100. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
hangzhou,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 1,469,842,700 / 进站量 920,673,300. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
harbin,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 361,230,700 / 进站量 235,715,200. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
hefei,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 524,431,400 / 进站量 314,502,400. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
jinan,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 116,398,600 / 进站量 83,374,500. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
kunming,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 307,424,100 / 进站量 221,221,200. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
