system_id,city,country,region,metric,period_start,granularity,value,unit,measure_def,daily_equiv,is_estimate,source_id
new-york,New York City,United States,North America,ridership,2002-01-01,monthly,170158166,passengers,"unlinked_trips (rail, NTD)",5488973.1,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2002-02-01,monthly,160086467,passengers,"unlinked_trips (rail, NTD)",5717373.8,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2002-03-01,monthly,177854326,passengers,"unlinked_trips (rail, NTD)",5737236.3,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2002-04-01,monthly,179984263,passengers,"unlinked_trips (rail, NTD)",5999475.4,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2002-05-01,monthly,184427154,passengers,"unlinked_trips (rail, NTD)",5949263.0,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2002-06-01,monthly,172902281,passengers,"unlinked_trips (rail, NTD)",5763409.4,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2002-07-01,monthly,172662319,passengers,"unlinked_trips (rail, NTD)",5569752.2,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2002-08-01,monthly,168206376,passengers,"unlinked_trips (rail, NTD)",5426012.1,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2002-09-01,monthly,171236993,passengers,"unlinked_trips (rail, NTD)",5707899.8,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2002-10-01,monthly,189027895,passengers,"unlinked_trips (rail, NTD)",6097674.0,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2002-11-01,monthly,169864644,passengers,"unlinked_trips (rail, NTD)",5662154.8,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2002-12-01,monthly,170713346,passengers,"unlinked_trips (rail, NTD)",5506882.1,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2003-01-01,monthly,165711437,passengers,"unlinked_trips (rail, NTD)",5345530.2,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2003-02-01,monthly,150909439,passengers,"unlinked_trips (rail, NTD)",5389622.8,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2003-03-01,monthly,173887517,passengers,"unlinked_trips (rail, NTD)",5609274.7,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2003-04-01,monthly,171283177,passengers,"unlinked_trips (rail, NTD)",5709439.2,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2003-05-01,monthly,172002408,passengers,"unlinked_trips (rail, NTD)",5548464.8,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2003-06-01,monthly,166590062,passengers,"unlinked_trips (rail, NTD)",5553002.1,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2003-07-01,monthly,167524070,passengers,"unlinked_trips (rail, NTD)",5404002.3,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2003-08-01,monthly,148267939,passengers,"unlinked_trips (rail, NTD)",4782836.7,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2003-09-01,monthly,174760732,passengers,"unlinked_trips (rail, NTD)",5825357.7,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2003-10-01,monthly,189777888,passengers,"unlinked_trips (rail, NTD)",6121867.4,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2003-11-01,monthly,169543379,passengers,"unlinked_trips (rail, NTD)",5651446.0,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2003-12-01,monthly,180766188,passengers,"unlinked_trips (rail, NTD)",5831167.4,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2004-01-01,monthly,165609815,passengers,"unlinked_trips (rail, NTD)",5342252.1,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2004-02-01,monthly,167414008,passengers,"unlinked_trips (rail, NTD)",5772896.8,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2004-03-01,monthly,192787894,passengers,"unlinked_trips (rail, NTD)",6218964.3,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2004-04-01,monthly,181289621,passengers,"unlinked_trips (rail, NTD)",6042987.4,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2004-05-01,monthly,184334430,passengers,"unlinked_trips (rail, NTD)",5946271.9,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2004-06-01,monthly,186688668,passengers,"unlinked_trips (rail, NTD)",6222955.6,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2004-07-01,monthly,178525607,passengers,"unlinked_trips (rail, NTD)",5758890.5,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2004-08-01,monthly,174837859,passengers,"unlinked_trips (rail, NTD)",5639930.9,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2004-09-01,monthly,175471048,passengers,"unlinked_trips (rail, NTD)",5849034.9,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2004-10-01,monthly,186902075,passengers,"unlinked_trips (rail, NTD)",6029099.2,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2004-11-01,monthly,180577175,passengers,"unlinked_trips (rail, NTD)",6019239.2,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2004-12-01,monthly,185644831,passengers,"unlinked_trips (rail, NTD)",5988542.9,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2005-01-01,monthly,171683842,passengers,"unlinked_trips (rail, NTD)",5538188.5,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2005-02-01,monthly,167803223,passengers,"unlinked_trips (rail, NTD)",5992972.2,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2005-03-01,monthly,191711086,passengers,"unlinked_trips (rail, NTD)",6184228.6,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2005-04-01,monthly,182189258,passengers,"unlinked_trips (rail, NTD)",6072975.3,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2005-05-01,monthly,188280958,passengers,"unlinked_trips (rail, NTD)",6073579.3,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2005-06-01,monthly,188747293,passengers,"unlinked_trips (rail, NTD)",6291576.4,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2005-07-01,monthly,172243517,passengers,"unlinked_trips (rail, NTD)",5556242.5,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2005-08-01,monthly,180102542,passengers,"unlinked_trips (rail, NTD)",5809759.4,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2005-09-01,monthly,179813678,passengers,"unlinked_trips (rail, NTD)",5993789.3,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2005-10-01,monthly,191717786,passengers,"unlinked_trips (rail, NTD)",6184444.7,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2005-11-01,monthly,193904807,passengers,"unlinked_trips (rail, NTD)",6463493.6,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2005-12-01,monthly,169812464,passengers,"unlinked_trips (rail, NTD)",5477821.4,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2006-01-01,monthly,181791510,passengers,"unlinked_trips (rail, NTD)",5864242.3,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2006-02-01,monthly,165720838,passengers,"unlinked_trips (rail, NTD)",5918601.4,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2006-03-01,monthly,195547564,passengers,"unlinked_trips (rail, NTD)",6307985.9,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2006-04-01,monthly,177360613,passengers,"unlinked_trips (rail, NTD)",5912020.4,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2006-05-01,monthly,197257230,passengers,"unlinked_trips (rail, NTD)",6363136.5,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2006-06-01,monthly,199356106,passengers,"unlinked_trips (rail, NTD)",6645203.5,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2006-07-01,monthly,177842849,passengers,"unlinked_trips (rail, NTD)",5736866.1,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2006-08-01,monthly,190164970,passengers,"unlinked_trips (rail, NTD)",6134353.9,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2006-09-01,monthly,197016292,passengers,"unlinked_trips (rail, NTD)",6567209.7,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2006-10-01,monthly,195021808,passengers,"unlinked_trips (rail, NTD)",6291026.1,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2006-11-01,monthly,199188129,passengers,"unlinked_trips (rail, NTD)",6639604.3,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2006-12-01,monthly,187181503,passengers,"unlinked_trips (rail, NTD)",6038113.0,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2007-01-01,monthly,191339209,passengers,"unlinked_trips (rail, NTD)",6172232.5,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2007-02-01,monthly,178860951,passengers,"unlinked_trips (rail, NTD)",6387891.1,true,new-york-ntd
new-york,New York City,United States,North America,ridership,2007-03-01,monthly,206772785,passengers,"unlinked_trips (rail, NTD)",6670089.8,true,new-york-ntd
