source_id,system_id,publisher,url,access,granularity,metric,measure_def,coverage_start,coverage_end,tier,retrieved,notes
shanghai-ts,shanghai,"China Association of Metros (中国城市轨道交通协会, CAMET)",https://www.camet.org.cn/xytj/tjxx/,webpage,annual,ridership,station_entries,2020,2025,national_db,2026-08-26,"Industry-association annual '城市轨道交通XXXX年度统计和分析报告' (Urban Rail Transit Statistics & Analysis Report), one edition/PDF per year, tabulating ridership for every Chinese mainland metro system incl. Shanghai. Confirmed editions on the index page: 2020-2025 (earlier editions likely exist but not confirmed this session). Direct PDF for the 2024 edition: https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf . Shanghai's listed operator, Shanghai Shentong Metro Group (600834.SH), discloses ridership only inside its semi-annual/annual financial reports, not as a standalone monthly series; no monthly official ridership series was found for Shanghai this session."
shanghai-revenue,shanghai,,https://stockn.xueqiu.com/SH600834/20250327063961.pdf,webpage,,revenue,,,,,2026-08-26,revenue
beijing-ts,beijing,"China Association of Metros (中国城市轨道交通协会, CAMET)",https://www.camet.org.cn/xytj/tjxx/,webpage,annual,ridership,station_entries,2020,2025,national_db,2026-08-26,"Same CAMET annual industry-report series covering all Chinese systems (see shanghai entry for the PDF link and detail). Beijing Subway/BJMTR does not appear to publish its own standalone monthly ridership series - recent-year figures mostly surface via year-end news recaps (e.g. sohu.com, chinanews.com) rather than a structured open dataset."
tokyo-ts,tokyo,"Tokyo Metro Co., Ltd. (東京地下鉄株式会社)",https://www.tokyometro.jp/corporate/ir/library/securities/index.html,webpage,annual,ridership,station_entries,,2025,official,2026-08-26,"Tokyo Metro's own IR filings (有価証券報告書/決算短信/factbook, e.g. https://www.tokyometro.jp/corporate/ir/library/factbook/pdf/factbook_2025.pdf) give annual 輸送人員 (ridership) for its 9 lines; exact earliest year in the online archive not confirmed this session (company was formed 2004). Toei Subway (4 lines - the other half of 'Tokyo subway') is reported separately and annually by the Tokyo Metropolitan Bureau of Transportation in its own 経営レポート management reports (e.g. https://www.kotsu.metro.tokyo.jp/about/keiei/pdf/report2025.pdf, giving FY2024 daily avg 2.641M/day, +5.8% YoY). No single official combined 'Tokyo Metro+Toei' series exists, so the annual value here is Claude's own sum of each operator's latest reported daily average x 365 (Metro FY2025: 7.04M/day; Toei FY2024: 2.641M/day - one FY apart) - hence measure_def=estimated on the annual figure. Japan's MLIT also runs a national 鉄道輸送統計調査 covering all operators via e-stat.go.jp (https://www.e-stat.go.jp/stat-search/files?toukei=00600350) but its exact granularity/span was not verified this session."
tokyo-revenue,tokyo,,https://www.tokyometro.jp/corporate/ir/finance/monthly/index.html,webpage,,revenue,,,,,2026-08-26,revenue
guangzhou-ts,guangzhou,"China Association of Metros (中国城市轨道交通协会, CAMET)",https://www.camet.org.cn/xytj/tjxx/,webpage,annual,ridership,station_entries,2020,2025,national_db,2026-08-26,"Same CAMET annual report series as other Chinese systems in this batch (see shanghai entry). The annual figure used here instead comes from Guangzhou Daily's own portal (dayoo.com, published 2026-06-08) covering Guangzhou Metro Corp's annual operations report, which distinguishes 'metro only' ridership (33.99亿/3.399bn, 2025, +4.87% YoY vs 32.81亿/3.281bn in 2024) from the 'full urban rail network incl. trams + intercity' figure (34.39亿/3.439bn). No confirmed monthly official series found."
shenzhen-ts,shenzhen,"China Association of Metros (中国城市轨道交通协会, CAMET)",https://www.camet.org.cn/xytj/tjxx/,webpage,annual,ridership,station_entries,2020,2025,national_db,2026-08-26,"Same CAMET annual report series as other Chinese systems in this batch (see shanghai entry). 2024 total independently corroborated at ~3.1021bn via en.wikipedia.org/wiki/Shenzhen_Metro (citing shenzhen.exploremetro.com and Shenzhen Metro Group's own 20th-anniversary release). Shenzhen Metro Group also announces single-day/period ridership records via its own press and Shenzhen municipal government channels (gzw.sz.gov.cn), but no standing monthly official ridership series was confirmed this session."
shenzhen-revenue,shenzhen,,https://www.chinamoney.com.cn/chinese/cwbg/20260429/3330329.html,webpage,,revenue,,,,,2026-08-26,revenue
seoul-ts,seoul,Seoul Metro / Seoul Open Data Plaza (서울교통공사 / 서울 열린데이터광장),https://data.seoul.go.kr/dataList/OA-12921/F/1/datasetView.do,open_csv,daily,ridership,station_entries,2008,2025,official,2026-08-26,"'서울교통공사_역별 일별 시간대별 승하차인원 정보' - station-by-station, hour-band-level boarding+alighting counts, published as downloadable CSV files (one per year), daily resolution within each file. License: 공공누리 Type 3 (attribution, no derivatives). Covers only Seoul Metro's own operated portion of Lines 1-8 (271 stations) - excludes Korail-run segments, Line 9 Corp, Incheon Transit, Airport Railroad and other operators that also serve the wider 'Seoul Metropolitan Subway' network, so both this series and the annual figure above understate the full metropolitan system. A companion monthly-granularity file also exists ('월별 수송인원', https://data.seoul.go.kr/dataList/OA-22474/L/1/datasetView.do) but the daily file is finer and preferred here."
moscow-ts,moscow,"MetroStat.ru (independent enthusiast aggregator, run by Sergey Turulin)",https://metrostat.ru/ru/moscow/2023-1,webpage,annual,ridership,estimated,2021,2026,community/aggregator,2026-08-26,"Community-run site publishing per-station Moscow Metro passenger-flow (пассажиропоток) reports as quarterly PDF/PNG pages; true cadence is quarterly, rounded down to 'annual' here since the schema's granularity enum has no quarterly option. Not an official Moscow Metro/city product, and no bulk CSV/API is offered. No official structured historical ridership time series was located this session: mosmetro.ru publishes occasional press-release figures (single-day records, %-of-pre-pandemic recovery) rather than a downloadable series, and transport.mos.ru/mostrans/for_journs/data shows only aggregated monthly/annual dashboard summaries pointing to the general open-data portal (data.mos.ru/opendata, transport category) which was not directly inspected this session. The annual value above is Claude's own estimate (6.6M/day metro share x 366 days, 2024) derived from a data-journalism piece (t-j.ru) that itself cites Moscow's unified transport portal and open-data portal rather than stating a single official topline annual figure - hence measure_def=estimated and lower confidence."
